"SLDLST10,C,3","LTR06,N,32,10","LTD06,N,32,10","LOT06,N,32,10"
"47B",331,621,954
"47B",476,622,1099
"47B",728,717,1448
"47B",494,641,1136
"47B",593,730,1324
"47B",689,756,1445
"47B",683,867,1550
"21A",69,43,112
"21A",80,37,117
"21A",119,113,232
"21A",60,56,116
"21A",285,198,484
"21A",53,31,84
"21A",76,30,106
"21A",60,42,102
"21A",127,60,187
"21A",8,10,18
"21A",15,35,50
"21A",91,69,160
"21A",89,28,117
"21A",52,28,80
"21A",177,94,271
"21A",74,28,102
"21A",101,46,147
"21A",83,38,121
"21A",135,75,210
"21A",61,25,86
"21A",79,68,147
"21A",34,20,54
"21A",758,500,1261
"21A",1096,655,1758
"21A",83,44,127
"21A",832,599,1432
"21A",348,220,568
"21A",62,29,91
"21A",75,20,96
"21A",20,54,74
"21A",412,368,782
"21A",70,29,99
"21A",66,38,104
"21A",64,26,90
"21A",58,68,126
"21A",14,16,30
"21A",67,34,101
"21A",85,20,105
"21A",79,48,127
"21A",53,8,61
"21A",33,6,39
"21A",34,11,45
"21A",49,30,79
"21A",53,36,89
"21A",58,38,96
"21A",122,106,228
"21A",350,278,628
"21A",420,291,712
"21A",69,21,90
"21A",412,321,734
"21A",67,27,94
"21A",21,9,30
"21A",55,53,109
"21A",31,27,58
"21A",73,18,91
"21A",68,28,96
"21A",43,40,83
"21A",52,35,87
"21A",212,94,306
"21A",54,33,87
