"SLDLST10,C,3","LTR06,N,32,10","LTD06,N,32,10","LOT06,N,32,10"
"22A",51,26,78
"55A",352,747,1101
"55A",557,1053,1615
"55A",496,741,1238
"55A",140,380,520
"55A",265,607,873
"55A",343,798,1142
"55A",473,772,1245
"55A",168,316,486
"55A",154,299,455
"55A",338,512,851
"55A",378,886,1264
"55A",298,705,1003
"55A",356,874,1232
"55A",433,914,1351
"55A",308,519,829
"66B",143,829,972
"66B",184,878,1067
"66B",327,897,1229
"66B",402,848,1255
"66B",165,1105,1270
"66B",216,1212,1432
"66B",183,576,760
"66B",285,751,1037
"66B",221,676,899
"66B",205,867,1073
"66B",143,735,880
"66B",195,781,978
"66B",585,1446,2036
"66B",195,837,1036
"67B",96,326,425
"67B",149,449,600
"67B",212,586,803
"67B",102,368,472
"67B",195,647,849
"67B",190,486,678
"67B",160,491,651
"67B",316,583,902
"67B",141,458,600
"67B",226,591,819
"67B",235,624,861
"67B",283,626,910
"67B",369,784,1153
"54B",421,642,1063
"54B",102,110,212
"54B",662,759,1424
"54B",593,885,1481
"54B",699,780,1482
"54B",527,695,1222
"54B",749,551,1301
"54B",460,656,1116
"54B",769,951,1721
"54B",906,968,1877
"54B",697,786,1483
"54B",821,732,1553
"54B",563,714,1280
"02B",372,449,822
"02B",31,76,107
"02B",7,4,11
"02B",14,27,41
"02B",32,25,57
"02B",125,129,254
"02B",70,72,142
"02B",45,19,64
"02B",31,35,66
"02B",226,214,440
"02B",0,3,3
"02B",370,379,749
"02B",81,66,147
"02B",2,3,5
"02B",36,41,77
"02B",172,136,308
"02B",36,47,83
"02B",64,47,111
"02B",57,63,120
"02B",23,22,45
"02B",5,6,11
"02B",141,81,222
"02B",39,26,65
"02B",8,11,19
"02B",117,149,266
"02B",17,27,44
"02B",50,90,140
"02B",20,6,26
"02B",15,336,351
"02B",61,17,78
"02B",196,139,337
"02B",20,15,35
"02B",20,603,623
"02B",17,16,33
"02B",17,485,503
"02B",18,18,36
"02B",14,16,30
"02B",5,11,16
"02B",13,286,299
"02B",42,72,114
"02B",101,33,134
"02B",26,26,52
"02B",33,45,78
"02B",347,313,661
"02B",15,26,41
"02B",5,11,16
"02B",33,28,61
"02B",10,12,22
"02B",18,16,34
"02B",37,18,55
"02B",304,231,535
"02B",34,20,54
"02B",114,120,235
"02B",250,166,416
"02B",82,54,136
"02B",134,108,242
"02B",78,64,143
"02B",64,67,131
"02B",33,20,53
"02B",2,0,2
"02B",0,0,0
"02B",95,73,168
"02B",41,25,66
"02B",91,78,169
"02B",118,88,206
"02B",6,8,14
"02B",74,44,118
"02B",73,50,123
"02B",130,81,211
"02B",98,78,176
"02B",47,38,86
"02B",20,35,55
"02B",172,180,355
"02B",30,23,53
"02B",56,40,96
"02B",46,58,104
"02B",434,478,915
"02B",195,224,419
"02B",12,17,29
"02B",313,359,674
"02B",93,97,191
"02B",58,34,92
"02B",315,352,669
"02B",129,105,234
"02B",31,27,58
"02B",187,160,347
"02B",359,368,728
"02B",24,17,41
"02B",24,47,71
"02B",15,24,39
"02B",15,12,27
"02B",12,29,41
"02B",22,61,83
"02B",8,31,39
"02B",13,35,48
"02B",12,28,40
"02B",33,63,96
"02B",11,19,30
"02B",25,32,57
"02B",52,30,82
"02B",13,12,25
"02B",6,14,20
"01B",17,19,36
"01B",6,15,21
"01B",34,62,96
"01B",11,33,44
"01B",64,70,134
"01B",108,195,303
"01B",18,16,34
"01B",10,19,29
"01B",11,37,48
"01B",12,11,23
"01B",35,40,75
"01B",7,8,15
"01B",3,10,13
"01B",14,27,41
"01B",4,5,9
"01B",77,69,146
"01B",33,34,67
"01B",25,22,47
"01B",29,43,72
"01B",36,77,113
"01B",9,14,23
"01B",127,198,325
"01B",22,28,50
"01B",27,34,61
"01B",18,21,39
"01B",33,38,71
"01B",11,28,39
"01B",196,209,405
"01B",157,183,340
"01B",24,13,37
"01B",27,16,43
"01B",23,46,69
"01B",63,136,199
"01B",32,70,102
"01B",15,21,36
"01B",13,8,21
"01B",26,30,56
"01B",9,22,31
"01B",16,16,32
"01B",19,25,44
"01B",45,36,81
"01B",24,45,69
"01B",77,125,203
"01B",13,28,41
"01B",15,13,28
"01B",38,33,71
"01B",21,27,48
"01B",10,15,25
"01B",21,21,42
"01B",23,19,42
"01B",7,21,28
"01B",44,68,112
"01B",23,57,80
"01B",152,212,364
"01B",222,339,562
"01B",165,256,424
"01B",109,261,370
"01B",182,284,466
"01B",171,252,423
"01B",201,336,537
"01B",91,106,197
"01B",387,389,776
"01B",140,207,347
"01B",158,247,405
"01B",300,309,609
"01B",84,125,209
"01B",18,10,28
"01B",50,36,86
"01B",31,27,58
"01B",23,49,72
"01B",23,33,56
"01B",98,76,174
"01B",48,35,85
"01B",42,70,113
"01B",54,99,153
"01B",34,40,74
"01B",63,63,126
"01B",14,11,25
"01B",11,18,29
"01B",19,27,46
"01B",91,100,191
"01B",33,26,59
"01B",18,28,46
"01B",16,23,39
"01B",128,129,257
"01B",68,28,96
"01B",45,30,75
"01B",30,56,86
"01B",33,22,55
"01B",42,45,87
"01B",22,29,51
"01B",50,42,93
"01B",3,12,15
"01B",14,19,33
"01B",39,25,64
"01B",18,48,66
"01B",154,133,287
"01B",11,20,31
"01B",18,31,49
"01B",43,20,63
"01B",15,23,38
"01B",28,47,75
"01B",16,42,58
"01B",32,54,86
"01B",22,70,92
"01B",32,35,67
"01B",23,49,72
"01B",44,51,95
"01B",33,21,55
"01B",73,144,217
"01B",84,107,192
"01B",95,111,206
"01B",34,37,72
"01B",7,22,29
"01B",8,20,28
"01B",13,23,36
"01B",24,49,73
"01B",8,27,35
"01A",0,0,0
"01A",145,174,319
"01A",36,78,114
"01A",21,57,78
"01A",28,105,133
"01A",143,336,479
"01A",16,37,53
"01A",12,10,22
"01A",11,16,27
"01A",10,8,18
"01A",8,21,29
"01A",0,10,10
"01A",7,13,21
"01A",22,40,62
"01A",19,24,43
"01A",0,0,0
"01A",6,18,24
"01A",6,23,29
"01A",18,38,56
"01A",20,31,51
"01A",3,16,19
"01A",10,9,19
"01A",5,9,14
"01A",6,21,27
"01A",30,34,64
"01A",4,9,13
"01A",0,0,0
"01A",31,21,52
"01A",4,5,9
"01A",15,42,57
"01A",8,12,20
"01A",17,11,29
"01A",4,25,29
"01A",3,8,11
"01A",18,13,31
"01A",4,19,23
"01A",5,18,23
"01A",12,23,35
"01A",23,70,93
"01A",0,0,0
"01A",10,22,32
"01A",1,9,10
"01A",34,48,82
"01A",14,20,34
"01A",29,42,71
"01A",15,26,41
"01A",21,20,41
"01A",12,13,25
"01A",6,12,18
"01A",9,18,27
"01A",3,3,6
"01A",10,11,21
"01A",54,74,128
"01A",39,28,67
"01A",22,15,37
"01A",25,30,55
"01A",7,7,14
"01A",26,43,69
"01A",40,74,119
"01A",8,8,16
"01A",25,55,80
"01A",69,66,135
"01A",54,34,88
"01A",30,44,74
"01A",68,44,112
"01A",33,48,81
"01A",7,25,32
"01A",13,17,30
"01A",38,36,74
"01A",14,12,26
"01A",7,14,21
"01A",99,153,253
"01A",104,148,253
"01A",129,305,436
"01A",38,27,65
"01A",101,91,192
"01A",31,34,65
"01A",41,36,77
"01A",24,30,54
"01A",40,22,62
"01A",32,21,53
"01A",27,33,60
"01A",42,36,78
"01A",96,76,172
"01A",54,64,118
"01A",74,98,172
"01A",91,181,272
"01A",87,166,253
"01A",86,155,242
"01A",57,81,138
"01A",92,197,294
"01A",128,203,331
"01A",94,138,236
"01A",97,158,255
"01A",69,176,246
"01A",130,172,302
"01A",130,222,353
"01A",31,33,64
"01A",144,154,298
"01A",46,32,78
"01A",61,51,112
"01A",39,22,61
"01A",126,95,221
"01A",408,258,666
"01A",122,81,203
"01A",16,7,23
"01A",114,110,224
"01A",70,67,137
"01A",34,25,59
"01A",232,114,346
"01A",12,16,28
"01A",38,20,58
"01A",24,20,44
"01A",1,6,7
"01A",21,10,31
"01A",11,5,16
"01A",8,9,17
"01A",26,25,51
"01A",35,25,60
"01A",580,518,1102
"01A",93,61,154
"01A",77,32,109
"01A",39,21,60
"01A",179,114,293
"01A",13,12,25
"01A",59,58,117
"01A",52,54,106
"01A",15,3,18
"01A",301,228,530
"53B",596,397,993
"53B",796,426,1225
"53B",1373,1137,2511
"53B",1030,731,1762
"53B",382,305,687
"53B",907,968,1879
"53B",1097,1150,2249
"53B",1070,855,1927
"53B",1185,1079,2266
"53B",1109,1130,2244
"64B",261,921,1183
"64B",542,1090,1633
"64B",489,1250,1740
"64B",499,1220,1720
"64B",338,969,1308
"64B",439,977,1417
"64B",506,1066,1572
"64B",393,870,1266
"64B",295,935,1230
"64B",407,981,1389
"64B",385,843,1229
"64B",233,626,861
"64B",195,583,779
"64B",430,995,1427
"67A",106,565,673
"67A",131,483,614
"67A",264,777,1042
"67A",168,437,608
"67A",155,553,711
"67A",84,356,441
"67A",170,672,846
"67A",214,710,925
"67A",111,490,606
"67A",116,429,546
"67A",205,572,779
"67A",214,735,953
"67A",126,469,595
"64A",204,933,1377
"64A",233,770,1138
"64A",154,767,1010
"64A",136,637,853
"64A",284,1083,1635
"64A",97,747,1324
"64A",205,820,1205
"64A",250,841,1232
"64A",181,744,1053
"64A",142,603,921
"64A",231,799,1195
"64A",115,495,807
"64A",287,910,1342
"64A",182,596,946
"64A",443,640,1179
"26B",233,223,456
"26B",324,245,570
"26B",784,899,1684
"26B",207,262,471
"26B",853,901,1761
"26B",346,458,807
"26B",520,675,1196
"26B",437,512,949
"26B",172,175,347
"26B",212,114,326
"26B",88,93,181
"26B",386,274,661
"26B",381,348,730
"26B",140,155,296
"26B",134,136,270
"26B",110,102,212
"26B",267,519,786
"26B",99,135,234
"26B",182,121,303
"26B",246,218,465
"26B",118,124,244
"26B",92,93,186
"26B",146,204,351
"26B",92,124,216
"26A",118,90,208
"26A",142,115,257
"26A",133,81,214
"26A",177,100,280
"26A",486,407,895
"26A",919,557,1481
"26A",459,354,814
"26A",852,522,1375
"26A",652,531,1186
"26A",247,253,506
"26A",469,303,774
"26A",572,429,1003
"26A",713,543,1258
"26A",624,401,1027
"26A",208,138,347
"26A",165,143,308
"26A",395,414,809
"26A",151,193,344
"26A",548,507,1055
"26A",142,200,342
"26A",113,149,262
"26A",308,284,592
"26A",475,272,749
"24B",79,58,137
"24B",69,21,90
"24B",58,63,121
"24B",71,57,130
"24B",22,12,34
"24B",571,526,1098
"24B",114,82,196
"24B",96,64,160
"24B",166,86,252
"24B",74,69,143
"24B",73,27,100
"24B",305,234,539
"24B",407,420,828
"24B",230,124,354
"24B",159,102,261
"24B",174,148,322
"24B",572,489,1063
"24B",179,149,329
"24B",177,180,357
"24B",60,37,97
"24B",110,64,175
"24B",101,83,184
"24B",205,247,452
"24B",184,161,345
"24B",91,59,150
"24B",302,306,610
"24B",91,55,146
"24B",137,39,176
"24B",80,35,115
"24B",349,339,689
"24B",62,39,101
"24B",91,49,140
"24B",3,0,3
"24B",45,50,95
"24B",90,34,124
"24B",363,212,575
"24B",73,31,104
"24B",107,42,149
"24B",89,105,194
"24B",79,42,121
"24B",74,58,133
"24B",72,21,93
"24B",97,39,136
"24B",85,58,143
"24B",63,55,118
"24B",167,172,339
"24B",100,25,125
"24B",83,69,152
"24B",73,51,124
"24B",103,178,281
"24B",68,79,147
"24B",63,40,103
"24B",42,59,101
"24B",0,3,3
"24B",85,80,165
"24B",104,77,181
"24B",55,72,127
"24B",165,139,304
"24B",472,437,912
"24B",132,129,261
"24B",182,326,508
"24B",98,128,227
"24B",144,133,277
"24B",119,112,231
"24B",66,59,125
"24B",88,97,185
"65B",128,438,567
"65B",183,829,1016
"65B",171,631,803
"65B",236,655,895
"65B",222,815,1042
"65B",138,526,667
"65B",207,731,942
"65B",169,474,645
"65B",257,708,968
"65B",229,859,1092
"65B",270,881,1155
"65B",188,744,935
"65B",191,640,833
"65B",59,376,437
"65A",214,839,1061
"65A",94,490,586
"65A",58,699,761
"65A",100,698,800
"65A",103,552,658
"65A",113,410,525
"65A",69,392,465
"65A",64,272,340
"65A",94,304,400
"65A",248,625,877
"65A",234,529,771
"58B",60,292,400
"58B",45,249,333
"58B",114,787,1024
"58B",48,465,604
"58B",49,541,658
"58B",79,558,713
"58B",71,662,817
"58B",19,337,405
"58B",25,186,237
"58B",41,132,183
"58B",61,185,279
"58B",322,757,1180
"58B",319,675,1094
"58B",139,301,483
"66A",57,364,423
"66A",50,244,294
"66A",103,419,524
"66A",377,1098,1480
"66A",147,567,716
"66A",128,445,576
"66A",137,440,578
"66A",142,488,633
"66A",124,448,577
"66A",232,695,934
"66A",137,456,596
"66A",78,343,423
"55B",184,308,493
"55B",416,924,1342
"55B",561,981,1550
"55B",200,483,683
"55B",185,479,665
"55B",483,937,1420
"55B",330,699,1029
"55B",292,727,1021
"55B",584,1261,1847
"55B",464,1037,1506
"55B",518,799,1317
"55B",706,1226,1936
"55B",421,636,1057
"50B",224,316,541
"50B",369,338,707
"50B",518,586,1107
"50B",647,441,1090
"50B",692,858,1552
"50B",1123,1392,2518
"50B",1009,1276,2285
"50B",1110,1573,2688
"50B",1066,1275,2344
"50B",1011,970,1984
"50A",231,629,917
"50A",272,630,976
"50A",222,518,809
"50A",237,515,802
"50A",275,600,946
"50A",306,570,932
"50A",229,531,805
"50A",211,542,825
"50A",269,585,913
"50A",273,513,826
"50A",196,396,638
"50A",229,318,574
"50A",261,437,763
"50A",411,655,1144
"50A",137,257,434
"50A",53,162,240
"50A",376,655,1105
"51B",266,417,686
"51B",287,465,752
"51B",387,604,998
"51B",392,566,960
"51B",451,573,1024
"51B",343,659,1003
"51B",246,441,689
"51B",241,399,641
"51B",432,652,1085
"51B",442,625,1068
"51B",348,336,685
"51B",639,864,1505
"51B",392,518,912
"51B",672,931,1610
"51B",265,556,824
"51B",0,0,0
"51B",28,37,65
"53A",345,369,718
"53A",356,526,883
"53A",691,834,1525
"53A",269,403,673
"53A",516,566,1083
"53A",858,614,1472
"53A",360,395,755
"53A",1182,810,1994
"53A",367,334,701
"53A",799,606,1407
"53A",872,1093,1966
"53A",981,992,1974
"53A",1545,1650,3196
"54A",246,815,1062
"54A",390,728,1120
"54A",662,1183,1845
"54A",1076,1272,2351
"54A",648,1232,1881
"54A",593,1225,1818
"54A",535,908,1447
"54A",529,1065,1597
"54A",538,992,1531
"54A",616,1184,1802
"54A",535,1058,1593
"35A",675,358,1034
"35A",598,595,1194
"35A",424,392,816
"35A",674,614,1291
"35A",719,639,1358
"35A",703,414,1117
"35A",502,361,864
"35A",532,385,918
"35A",0,0,0
"35A",367,430,801
"35A",383,473,857
"35A",350,437,788
"35A",457,461,918
"35A",473,392,865
"35A",433,244,678
"35A",481,476,958
"35A",493,352,846
"35A",957,647,1606
"35A",619,446,1068
"35A",312,321,636
"35B",1400,695,2099
"35B",0,0,0
"35B",663,360,1027
"35B",402,284,688
"35B",903,531,1435
"35B",491,209,700
"35B",0,0,0
"35B",747,697,1453
"35B",802,689,1494
"35B",1012,664,1680
"35B",556,276,832
"35B",729,496,1226
"35B",0,0,0
"35B",1096,499,1597
"40A",956,1007,1965
"40A",528,591,1122
"40A",561,588,1155
"40A",517,730,1251
"40A",342,551,894
"40A",683,703,1386
"40A",1165,1198,2364
"40A",706,736,1443
"40A",355,430,785
"40A",564,634,1199
"40A",171,289,460
"25B",211,220,431
"25B",87,192,279
"25B",605,460,1065
"25B",3,1,4
"25B",187,174,362
"25B",337,255,592
"25B",647,382,1030
"25B",69,51,120
"25B",470,925,1396
"25B",404,592,996
"25B",737,793,1530
"25B",288,589,879
"25B",333,405,738
"25B",125,117,242
"25B",313,623,937
"25B",465,563,1028
"25B",260,187,447
"25B",230,278,508
"25B",524,345,872
"25B",324,218,543
"25B",1186,1061,2251
"25B",237,156,393
"25B",718,447,1165
"25B",473,259,732
"25A",0,0,0
"25A",149,144,293
"25A",168,174,342
"25A",102,119,222
"25A",128,107,235
"25A",518,375,893
"25A",159,123,283
"25A",20,20,40
"25A",726,282,1008
"25A",259,203,463
"25A",19,31,51
"25A",103,169,273
"25A",367,404,772
"25A",35,50,85
"25A",100,78,178
"25A",564,340,906
"25A",409,416,826
"25A",337,268,605
"25A",158,183,341
"25A",507,583,1091
