"STATEFP10,C,2","SLDLST10,C,3","GEOID10,C,5","SUMltr06,N,24,16","SUMtd06,N,24,16","SUMlot06,N,24,16","leg06pvi,N,24,16","SUMltr08,N,24,16","SUMltd08,N,24,16","SUMlot08,N,24,16","leg08pvi,N,24,16","SUMltr10,N,24,16","SUMltd10,N,24,16","SUMlot10,N,24,16","leg10pvi,N,24,16","pvi,N,24,16"
"27","09A","2709A",4337,11268,15620,-44.3725992318,12264,10791,23101,6.3763473443,6967,8635,15617,-10.6806685023,-16.2256401299
"27","15A","2715A",11223,12059,23310,-3.5864435864,16752,18390,35213,-4.6516911368,10489,14816,25350,-17.0690335306,-8.4357227513
"27","14B","2714B",17362,12071,29463,17.9581169603,18448,22114,40621,-9.0248886044,13687,17081,30811,-11.0155463958,-0.6941060133
"27","13A","2713A",14985,12921,27934,7.388845135,18511,15089,33761,10.1359556885,4795,19017,24268,-58.6039228614,-13.6930406793
"27","20B","2720B",8305,12948,21360,-21.7368913858,10023,14776,24828,-19.143708716,8772,10389,19205,-8.4196823744,-16.433427492
"27","30B","2730B",19080,17513,37509,4.1776640273,21815,26592,48461,-9.8574111141,17267,19268,36716,-5.4499400806,-3.7098957225
"27","28B","2728B",12624,11840,25297,3.0991817212,16540,15122,31699,4.4733272343,8877,14777,23669,-24.9271198614,-5.784870302
"27","28A","2728A",8858,11582,20527,-13.2703268865,13458,12369,25841,4.2142331953,7179,12608,19801,-27.4178071815,-12.1579669576
"27","19A","2719A",22025,14217,36279,21.5220926707,27840,21138,49083,13.6544221013,12800,23996,36838,-30.3925294533,1.5946617729
"27","29B","2729B",13881,10006,25846,14.9926487658,14580,19240,33893,-13.7491517422,12309,12233,24564,0.3093958639,0.5176309625
"27","30A","2730A",13183,14323,28102,-4.0566507722,14814,22008,36875,-19.5091525424,14256,12934,27221,4.8565445796,-6.2364195783
"27","06B","2706B",12226,28996,41322,-40.5837084362,18276,38132,57242,-34.6878166381,24679,14417,39847,25.7535071649,-16.5060059698
"27","10A","2710A",10624,11487,22127,-3.9002124102,14990,12562,27621,8.7904130915,7660,13386,21117,-27.1155940711,-7.4084644633
"27","39B","2739B",12438,20980,33466,-25.5244128369,15571,29185,44914,-30.311261522,18245,13796,32064,13.8753742515,-13.9867667025
"27","39A","2739A",11252,22506,34090,-33.0126136697,15245,28341,43669,-29.9892372163,19391,12482,31913,21.6494845361,-13.7841221166
"27","36A","2736A",21861,14602,36546,19.8626388661,30075,20282,51689,18.9460039854,13677,25144,38928,-29.456946157,3.1172322315
"27","31A","2731A",7462,10072,20450,-12.7628361858,10113,16685,26848,-24.478545888,9508,8714,18679,4.2507628888,-10.9968730617
"27","37B","2737B",17188,15241,32456,5.998890806,20520,22170,43123,-3.8262644065,14046,19019,33084,-15.0314351348,-4.2862695784
"27","38B","2738B",18070,18714,36816,-1.7492394611,23294,25079,48662,-3.6681599605,16797,19853,36683,-8.3308344465,-4.5827446227
"27","37A","2737A",17284,15143,32458,6.5962166492,22243,20553,43315,3.9016506984,12731,18487,31320,-18.3780332056,-2.6267219527
"27","38A","2738A",14590,16750,31368,-6.8859984698,19397,22173,41650,-6.6650660264,14208,15642,30030,-4.7752247752,-6.1087630905
"27","57B","2757B",12992,18584,31597,-17.6978827104,22223,19873,42255,5.5614720151,11876,19238,31419,-23.4316814666,-11.8560307206
"27","57A","2757A",13035,23634,36703,-28.8777484129,20678,28971,49815,-16.6475961056,17719,17848,35595,-0.3624104509,-15.2959183231
"27","34B","2734B",20848,14036,35106,19.4040904689,28846,17527,46433,24.3770594189,6385,25383,32081,-59.2188522802,-5.1459007975
"27","36B","2736B",23591,20269,43931,7.5618583688,33648,26124,60483,12.439859134,16030,29096,45164,-28.9301213356,-2.9761346109
"27","06A","2706A",6483,16856,23396,-44.3366387417,8097,19684,27973,-41.4220855825,15410,8331,23793,29.7524481991,-18.6687587084
"27","52A","2752A",22193,18645,41295,8.5918392057,31358,20467,52219,20.8563932668,14311,26676,41524,-29.7779597341,-0.1099090872
"27","48A","2748A",21762,18019,40123,9.3288138973,31345,19891,51546,22.2209288791,13150,26695,40051,-33.8193802901,-0.7565458379
"27","51A","2751A",15122,16766,31935,-5.1479567872,19805,20326,42050,-1.2390011891,14299,17388,31792,-9.7162808254,-5.3677462672
"27","48B","2748B",16185,14844,31069,4.3161994271,24096,17072,41309,17.0035585466,11116,19742,30968,-27.8545595453,-2.1782671906
"27","49A","2749A",20806,17622,38483,8.273783229,28342,19954,48672,17.2337278107,12955,25090,38196,-31.7703424442,-2.0876104682
"27","49B","2749B",15195,16968,32209,-5.504672607,19453,22548,42659,-7.2552099205,14108,16499,31230,-7.6560999039,-6.8053274772
"27","47A","2747A",17123,17510,34676,-1.11604568,21788,24722,46616,-6.2939763171,15789,17357,33699,-4.652957061,-4.0209930194
"27","47B","2747B",17895,21289,39245,-8.648235444,22160,30508,52977,-15.7577816788,19571,16829,37344,7.3425449871,-5.6878240452
"27","21A","2721A",9096,6647,16584,14.7672455379,13726,7565,21319,28.8991040856,5751,9945,15715,-26.6878778237,5.6594905999
